objectid,title,creator,date,language,identifier,description,rights,filename,format,filesize
fl13001,Childhood Door,"Rodriguez, Victoria",2022-03-15,English,0000-0001,Childhood bedroom and door,"Rodriguez, Victoria",IMG_20220315_210046.jpeg,image/jpeg,"1,598 KB"
fl13002,Blue House,"Rodriguez, Victoria",2022-03-18,English,0000-0002,Childhood house with blue car and open garage,"Rodriguez, Victoria",IMG_20220318_190010.jpeg,image/jpeg,"2,893 KB"
fl13003,Snack Cabinets,"Rodriguez, Victoria",2022-03-19,English,0000-0003,Snack cabinet filled with food and utensils,"Rodriguez, Victoria",IMG_20220319_173937.jpeg,image/jpeg,"1,220 KB"
fl13004,Childhood Kitchen,"Rodriguez, Victoria",2022-03-19,English,0000-0004,"Microwave, stove and oven","Rodriguez, Victoria",IMG_20220319_173940.jpeg,image/jpeg,"1,131 KB"
fl13005,Kitchen/Dining Room,"Rodriguez, Victoria",2022-03-19,English,0000-0005,Kitchen overlooking dining room and living room. Mom and dad packing boxes.,"Rodriguez, Victoria",IMG_20220319_173945.jpeg,image/jpeg,"3,747 KB"
fl13006,Global Plates,"Rodriguez, Victoria",2022-03-19,English,0000-0006,Collection of plates from around the world above my mom's desk,"Rodriguez, Victoria",IMG_20220319_173952.jpeg,image/jpeg,"3,357 KB"
fl13007,Parent's Bedroom,"Rodriguez, Victoria",2022-03-19,English,0000-0007,My parent's bedroom and window,"Rodriguez, Victoria",IMG_20220319_174009.jpeg,image/jpeg,"1,359 KB"
fl13008,Parent's Bedroom 2,"Rodriguez, Victoria",2022-03-19,English,0000-0008,My parent's mirror closet and bathroom door,"Rodriguez, Victoria",IMG_20220319_174012.jpeg,image/jpeg,"1,251 KB"
fl13009,Bathroom,"Rodriguez, Victoria",2022-03-19,English,0000-0009,My parent's bathroom,"Rodriguez, Victoria",IMG_20220319_174028.jpeg,image/jpeg,"1,078 KB"
fl13010,Brother's Posters,"Rodriguez, Victoria",2022-03-19,English,0000-0010,Marvel comics posters on my brother's wall,"Rodriguez, Victoria",IMG_20220319_174111.jpeg,image/jpeg,"3,491 KB"
fl13011,Brother's Desk,"Rodriguez, Victoria",2022-03-19,English,0000-0011,My brother's desk and posters,"Rodriguez, Victoria",IMG_20220319_174116.jpeg,image/jpeg,"2,604 KB"
fl13012,Bathroom 2,"Rodriguez, Victoria",2022-03-19,English,0000-0012,Green bathroom that I and my brother shared,"Rodriguez, Victoria",IMG_20220319_174142.jpeg,image/jpeg,"1,835 KB"
fl13013,Front Yard: Last Photo,"Rodriguez, Victoria",2022-04-10,English,0000-0013,Front yard with blue car and tree my cousin gave us,"Rodriguez, Victoria",IMG_20220410_163238.jpeg,image/jpeg,"2,804 KB"
